"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Generation / - Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Price for consumption [Currency/MWh] - SCA|DE(TenneT GER)","Currency","Status","Total Imbalance [MWh] - SCA|DE(TenneT GER)","Difference","Situation","Status"
"03.01.2021 00:45 - 03.01.2021 01:00","n/e","n/e","n/e","n/e","n/e","43","11","Deficit","Final"
"03.01.2021 01:00 - 03.01.2021 01:15","n/e","n/e","n/e","n/e","n/e","62","6","Deficit","Final"
"03.01.2021 01:15 - 03.01.2021 01:30","n/e","n/e","n/e","n/e","n/e","45","13","Deficit","Final"
"03.01.2021 01:30 - 03.01.2021 01:45","n/e","n/e","n/e","n/e","n/e","71","7","Deficit","Final"
"03.01.2021 01:45 - 03.01.2021 02:00","n/e","n/e","n/e","n/e","n/e","48","7","Deficit","Final"
"03.01.2021 02:00 - 03.01.2021 02:15","n/e","n/e","n/e","n/e","n/e","37","-2","Deficit","Final"
"03.01.2021 02:15 - 03.01.2021 02:30","n/e","n/e","n/e","n/e","n/e","5","6","Surplus","Final"
"03.01.2021 02:30 - 03.01.2021 02:45","n/e","n/e","n/e","n/e","n/e","31","10","Surplus","Final"
"03.01.2021 02:45 - 03.01.2021 03:00","n/e","n/e","n/e","n/e","n/e","16","14","Deficit","Final"
"03.01.2021 03:00 - 03.01.2021 03:15","n/e","n/e","n/e","n/e","n/e","31","0","Deficit","Final"
"03.01.2021 03:15 - 03.01.2021 03:30","n/e","n/e","n/e","n/e","n/e","11","5","Deficit","Final"
"03.01.2021 03:30 - 03.01.2021 03:45","n/e","n/e","n/e","n/e","n/e","23","3","Surplus","Final"
"03.01.2021 03:45 - 03.01.2021 04:00","n/e","n/e","n/e","n/e","n/e","79","4","Surplus","Final"
"03.01.2021 04:00 - 03.01.2021 04:15","n/e","n/e","n/e","n/e","n/e","52","4","Surplus","Final"
"03.01.2021 04:15 - 03.01.2021 04:30","n/e","n/e","n/e","n/e","n/e","34","4","Surplus","Final"
"03.01.2021 04:30 - 03.01.2021 04:45","n/e","n/e","n/e","n/e","n/e","13","4","Deficit","Final"
"03.01.2021 04:45 - 03.01.2021 05:00","n/e","n/e","n/e","n/e","n/e","36","5","Surplus","Final"
"03.01.2021 05:00 - 03.01.2021 05:15","n/e","n/e","n/e","n/e","n/e","39","2","Surplus","Final"
"03.01.2021 05:15 - 03.01.2021 05:30","n/e","n/e","n/e","n/e","n/e","68","3","Surplus","Final"
"03.01.2021 05:30 - 03.01.2021 05:45","n/e","n/e","n/e","n/e","n/e","53","5","Surplus","Final"
"03.01.2021 05:45 - 03.01.2021 06:00","n/e","n/e","n/e","n/e","n/e","23","2","Surplus","Final"
"03.01.2021 06:00 - 03.01.2021 06:15","n/e","n/e","n/e","n/e","n/e","17","1","Deficit","Final"
"03.01.2021 06:15 - 03.01.2021 06:30","n/e","n/e","n/e","n/e","n/e","17","2","Surplus","Final"
"03.01.2021 06:30 - 03.01.2021 06:45","n/e","n/e","n/e","n/e","n/e","20","1","Surplus","Final"
"03.01.2021 06:45 - 03.01.2021 07:00","n/e","n/e","n/e","n/e","n/e","28","3","Surplus","Final"
"03.01.2021 07:00 - 03.01.2021 07:15","n/e","n/e","n/e","n/e","n/e","64","11","Surplus","Final"
"03.01.2021 07:15 - 03.01.2021 07:30","n/e","n/e","n/e","n/e","n/e","46","2","Surplus","Final"
"03.01.2021 07:30 - 03.01.2021 07:45","n/e","n/e","n/e","n/e","n/e","15","-1","Deficit","Final"
